team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
FC Internazionale Milano,Inter Milan,2025,Italy,4,3,1,0,2,2,0,1,0,1,1,1,0,1.75,2,1,1,0,0,11,5,4,1,9,7,2,4,1,3,1,1,0,72,68,90,90,90,90,1,1,0,2,1,1,1,1,0,1,1,0,20,14,6,9,6,3,67,68,62,73,58,15,13,11,2,60,47,13,51,41,10,1,0,1,3,2,1,-2,-2,0,0,0,0,2,1,1,2,2,0,0.5,0.33,1,2.25,2.33,2,1.25,1.33,1,1,1,1,1,0.67,2,0.25,0,1,0.75,0.67,1,4,4,1,0,0,0,3,3,1,0,0,0,1,1,0,0,0,0,0,0,3,4,4,4,0,0,2,3,3,3,0,0,1,1,1,1,100,100,25,0,0,0,100,100,33,0,0,0,100,100,0,0,0,0,0,0,75,100,100,100,0,0,67,100,100,100,0,0,100,100,100,100,3,1,0,2,0,0,1,1,0,75,25,0,67,0,0,100,100,0,50,67,0,0,25,33,0,50,33,100,25,33,0,25,33,0,1,1,0,25,33,0,3,3,0,75,100,0,1,0,1,25,0,100,0,0,0,50,33,100,50,67,0,5.00,4.67,6.00,2.25,2,3.00,75,50,25,25,0,0,0,0,1.90,2.00,1.62,0.93,0.95,0.87,0,0,0,0,0,1,0,0,2,2,1,1,1,0,0,0,0,0,1,25,0,100,25,33,0,0
CR Flamengo,Flamengo,2025,Brazil,4,3,1,0,2,2,0,1,0,1,1,1,0,1.75,2,1,1,0,0,12,8,6,2,14,12,2,7,1,5,1,2,0,45,39,90,60,54,90,1,1,0,3,2,1,0,0,0,1,1,0,21,15,6,8,8,0,60,57,66,55,36,19,20,16,4,35,20,15,64,53,11,2,2,0,4,4,0,-2,-2,0,1,1,0,1,0,1,2,2,0,1,1,1,3.5,4,2,2,2.33,1,1.5,1.67,1,1.5,2,0,0.5,0.67,0,1,1.33,0,4,4,2,2,1,1,3,3,2,2,1,1,1,1,0,0,0,0,0,0,2,2,3,3,0,0,1,1,2,2,0,0,1,1,1,1,100,100,50,50,25,25,100,100,67,67,33,33,100,100,0,0,0,0,0,0,50,50,75,75,0,0,33,33,67,67,0,0,100,100,100,100,3,1,1,3,1,1,0,0,0,75,25,25,100,33,33,0,0,0,50,67,0,3,25,33,0,75,67,100,0,0,0,25,33,0,2,1,1,50,33,100,2,1,1,50,33,100,1,1,0,25,33,0,25,33,0,25,0,100,50,67,0,5.25,5.00,6.00,2,2.67,0.00,75,75,50,25,25,25,25,0,1.49,1.41,1.70,0.91,1.02,0.56,125,0,1,0,1,0,1,3,0,2,2,1,0,0,1,0,0,1,1,25,0,100,25,33,0,0
Botafogo FR,Botafogo,2025,Brazil,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,15,3,3,0,6,3,3,2,1,1,2,1,-1,120,45,273,120,90,134,1,0,1,1,1,0,2,0,2,2,1,1,12,0,12,11,2,9,39,40,39,39,12,27,15,6,9,24,6,18,69,18,51,3,2,1,0,0,0,3,2,1,2,1,1,2,0,2,0,0,0,2,3,1.67,1.5,3,1,0.75,2,0.33,0.75,1,0.67,0.75,2,0.33,0.75,2,0.33,0,0,0,4,1,1,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,3,3,4,4,4,0,0,0,1,1,1,0,3,3,3,3,3,100,25,25,0,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,75,75,100,100,100,0,0,0,100,100,100,0,100,100,100,100,100,2,1,0,1,1,0,1,0,0,50,25,0,100,100,0,33,0,0,50,100,33,67,25,0,33,25,100,0,50,0,67,50,100,33,4,1,3,100,100,100,2,0,2,50,0,67,0,0,0,0,0,0,50,100,33,50,0,67,0,0,0,3.00,0.00,4.00,2.75,2,3.00,75,75,75,75,75,50,25,25,1.02,1.32,0.92,2.20,2.39,2.13,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,50,0,67,25
Fluminense FC,Fluminense,2025,Brazil,6,4,2,0,3,2,1,2,1,1,1,1,0,1.83,1.75,2,2,0,0,4,8,5,3,13,11,2,6,2,5,0,1,2,68,60,90,108,72,0,3,1,2,2,2,0,3,2,1,3,2,1,29,26,3,15,8,7,45,51,32,78,61,17,23,19,4,55,42,13,68,40,28,3,2,1,3,3,0,0,-1,1,2,1,1,2,1,1,2,2,0,1.33,1,2,2.17,2.75,1,1.33,1.5,1,0.83,1.25,0,1,1.25,0.5,0.5,0.5,0.5,0.5,0.75,0,4,4,2,1,1,1,3,3,2,1,1,1,1,1,0,0,0,0,2,2,4,5,5,5,1,1,2,3,3,3,1,1,2,2,2,2,67,67,33,17,17,17,75,75,50,25,25,25,50,50,0,0,0,0,33,33,67,83,83,83,25,25,50,75,75,75,50,50,100,100,100,100,4,1,1,3,1,1,1,0,0,67,17,17,75,25,25,50,0,0,50,50,50,-19,50,25,100,33,50,0,50,50,50,50,50,50,4,2,2,67,50,100,3,2,1,50,50,50,1,1,0,17,25,0,33,25,50,33,25,50,33,50,0,4.83,6.50,1.50,2.5,2,3.50,83,50,50,50,33,33,33,33,1.40,1.68,0.85,1.35,1.36,1.32,50,1,0,1,1,0,0,2,0,3,0,1,0,1,1,2,0,0,0,33,25,50,17,25,0,33
SE Palmeiras,Palmeiras,2025,Brazil,5,4,1,0,2,2,0,2,1,1,1,1,0,1.6,1.75,1,1,0,0,8,6,4,2,10,6,4,4,2,2,2,2,0,75,90,45,113,180,45,3,3,0,2,1,1,1,1,0,2,2,0,35,28,7,13,13,0,44,44,46,76,54,22,20,13,7,56,41,15,70,61,9,0,0,0,2,1,1,-2,-1,-1,0,0,0,3,3,0,2,1,1,0.6,0.75,0,2,1.5,4,1.2,1,2,0.8,0.5,2,0.4,0.25,1,0,0,0,0.4,0.25,1,4,3,2,1,0,0,3,2,1,0,0,0,1,1,1,1,0,0,1,2,3,4,5,5,1,2,3,4,4,4,0,0,0,0,1,1,80,60,40,20,0,0,75,50,25,0,0,0,100,100,100,100,0,0,20,40,60,80,100,100,25,50,75,100,100,100,0,0,0,0,100,100,2,0,0,1,0,0,1,0,0,40,0,0,25,0,0,100,0,0,40,50,0,11,60,75,0,40,25,100,20,25,0,40,50,0,3,3,0,60,75,0,5,4,1,100,100,100,0,0,0,0,0,0,0,0,0,60,75,0,40,25,100,7.00,7.00,7.00,2.6,3.25,0.00,100,80,60,40,40,40,40,20,1.57,1.36,2.44,1.22,1.31,0.89,60,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,1,0,1,40,25,100,20,25,0,20
CA River Plate,River Plate,2025,Argentina,3,2,1,0,1,1,0,1,1,0,1,0,1,1.33,2,0,3,0,0,18,3,3,0,6,4,2,3,0,1,2,2,-2,90,60,0,90,180,45,1,1,0,1,1,0,2,1,1,1,1,0,14,10,4,15,9,6,48,50,45,41,31,10,13,11,2,28,20,8,55,34,21,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2,2,2,1,1.5,0,1,0.5,2,0.33,0.5,0,0.33,0.5,0,0,0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,2,3,3,1,1,1,1,2,2,0,0,1,1,1,1,67,67,33,33,0,0,50,50,50,50,0,0,100,100,0,0,0,0,33,33,67,67,100,100,50,50,50,50,100,100,0,0,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,33,50,0,50,33,50,0,33,50,0,67,50,100,33,50,0,3,2,1,100,100,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,67,50,100,0,0,0,4.67,5.00,4.00,5,4.5,6.00,67,67,33,33,33,0,0,0,1.45,1.62,1.10,1.08,0.87,1.50,33,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,33,50,0,33,0,100,0
Urawa Red Diamonds,Urawa Reds,2025,Japan,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,28,2,9,-7,11,4,7,0,2,4,5,-4,-3,134,0,90,30,23,36,0,0,0,2,0,2,1,1,0,1,0,1,11,9,2,5,0,5,33,40,30,24,10,14,11,2,9,13,8,5,40,11,29,1,0,1,4,3,1,-3,-3,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3.67,4,3.5,0.67,0,1,3,4,2.5,1.67,3,1,0.33,0,0.5,1.33,3,0.5,3,3,3,2,0,0,1,1,1,1,0,0,2,2,2,1,0,0,0,0,0,1,3,3,0,0,0,0,1,1,0,0,0,1,2,2,100,100,100,67,0,0,100,100,100,100,0,0,100,100,100,50,0,0,0,0,0,33,100,100,0,0,0,0,100,100,0,0,0,50,100,100,3,1,1,1,1,1,2,0,0,100,33,33,100,100,100,100,0,0,0,0,0,-67,0,0,0,67,0,100,33,100,0,33,0,50,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,0,0,0,33,0,50,0,0,0,67,100,50,3.67,9.00,1.00,1.67,0,2.50,33,33,33,33,33,33,33,0,0.97,1.02,0.95,1.97,1.82,2.04,67,0,1,0,0,0,1,0,0,0,0,1,1,2,1,0,0,2,2,0,0,0,100,100,100,0
Al Ahly SC,Al Ahly,2025,Egypt,3,1,2,0,0,0,0,2,1,1,1,0,1,0.67,1,0.5,4,0,0,24,4,6,-2,10,0,10,0,4,0,6,0,-2,68,0,45,45,0,30,1,1,0,1,0,1,2,1,1,1,0,1,11,4,7,8,1,7,51,45,54,42,11,31,22,8,14,20,3,17,36,11,25,2,0,2,1,0,1,1,0,1,1,0,1,2,1,1,0,0,0,1.67,1,2,3.33,0,5,1.33,0,2,2,0,3,1,0,1.5,0.67,0,1,0.33,0,0.5,2,2,1,1,1,1,0,0,0,0,0,0,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,67,67,33,33,33,33,0,0,0,0,0,0,100,100,50,50,50,50,33,33,67,67,67,67,100,100,100,100,100,100,0,0,50,50,50,50,1,1,1,0,0,0,1,1,1,33,33,33,0,0,0,50,50,50,0,0,0,0,33,100,0,33,0,50,67,100,50,33,0,50,2,1,1,67,100,50,2,1,1,67,100,50,1,0,1,33,0,50,33,0,50,67,100,50,0,0,0,3.67,4.00,3.50,2.67,1,3.50,100,100,100,67,67,67,67,67,1.61,1.50,1.67,1.48,1.61,1.42,100,0,1,0,0,1,1,1,0,0,0,0,1,0,2,2,0,0,1,67,100,50,33,0,50,33
Mamelodi Sundowns FC,Mamelodi Sundowns,2025,South Africa,3,2,1,0,1,0,1,1,1,0,1,1,0,1.33,0.5,3,3,0,0,19,4,4,0,8,7,1,3,1,4,0,-1,1,68,60,90,68,45,0,2,1,1,1,1,0,1,1,0,2,1,1,11,6,5,5,4,1,65,64,68,37,23,14,9,7,2,28,16,12,24,22,2,2,1,1,3,3,0,-1,-2,1,1,0,1,1,1,0,1,1,0,1.33,0.5,3,2.67,3.5,1,1.33,1.5,1,1.33,2,0,1.67,2,1,0.67,0.5,1,1,1.5,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,67,33,33,33,33,33,50,50,50,50,50,50,100,0,0,0,0,0,33,67,67,67,67,67,50,50,50,50,50,50,0,100,100,100,100,100,2,1,1,1,1,1,1,0,0,67,33,33,50,50,50,100,0,0,33,0,100,-19,67,50,100,33,50,0,33,50,0,67,50,100,2,1,1,67,50,100,1,1,0,33,50,0,1,1,0,33,50,0,33,0,100,33,50,0,33,50,0,3.67,3.00,5.00,1.67,2,1.00,33,33,33,33,33,33,33,33,1.25,1.22,1.30,0.94,0.85,1.11,33,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,33,50,0,33,50,0,0
CF Pachuca,Pachuca,2025,Mexico,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,29,2,7,-5,9,3,6,1,1,2,5,-1,-4,134,90,180,39,45,36,0,0,0,2,1,1,1,0,1,0,0,0,17,7,10,4,1,3,48,50,48,55,17,38,19,6,13,36,11,25,41,12,29,0,0,0,4,1,3,-4,-1,-3,0,0,0,0,0,0,3,1,2,0,0,0,3,3,3,0.67,1,0.5,2.33,2,2.5,1.33,1,1.5,0,0,0,1.33,1,1.5,3,3,2,1,0,0,1,1,1,0,0,0,2,2,1,1,0,0,0,0,1,2,3,3,0,0,0,1,1,1,0,0,1,1,2,2,100,100,67,33,0,0,100,100,100,0,0,0,100,100,50,50,0,0,0,0,33,67,100,100,0,0,0,100,100,100,0,0,50,50,100,100,3,1,0,1,0,0,2,1,0,100,33,0,100,0,0,100,50,0,0,0,0,32,0,0,0,67,100,50,33,0,50,0,0,0,0,0,0,0,0,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,5.67,7.00,5.00,1.33,1,1.50,67,67,67,0,0,0,0,0,1.86,1.72,1.93,1.02,1.16,0.95,100,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,1,0,0,0,100,100,100,0
CF Monterrey,Monterrey,2025,Mexico,4,1,3,0,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2,0,0,16,6,3,3,9,2,7,1,5,1,2,0,3,60,90,54,120,90,134,2,0,2,2,1,1,1,0,1,2,1,1,15,4,11,6,1,5,54,38,59,46,11,35,17,1,16,29,10,19,41,6,35,4,1,3,3,1,2,1,0,1,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2.25,2,2.33,1.5,1,1.67,0.75,1,0.67,1.75,2,1.67,1,1,1,0.75,1,0.67,3,3,2,1,0,0,1,1,0,0,0,0,2,2,2,1,0,0,1,1,2,3,4,4,0,0,1,1,1,1,1,1,1,2,3,3,75,75,50,25,0,0,100,100,0,0,0,0,67,67,67,33,0,0,25,25,50,75,100,100,0,0,100,100,100,100,33,33,33,67,100,100,3,3,1,1,1,0,2,2,1,75,75,25,100,100,0,67,67,33,25,0,33,-33,50,0,67,50,100,33,25,0,33,50,100,33,2,0,2,50,0,67,2,0,2,50,0,67,1,1,0,25,100,0,25,0,33,50,100,33,25,0,33,3.75,4.00,3.67,1.5,1,1.67,100,100,75,75,50,25,25,0,1.23,0.87,1.35,1.37,1.62,1.28,75,0,0,2,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,50,100,33,25,0,33,0
Wydad Athletic Club,Wydad Casablanca,2025,Morocco,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,30,2,8,-6,10,3,7,1,1,2,6,-1,-5,134,90,180,34,45,30,0,0,0,2,1,1,1,0,1,1,1,0,12,4,8,6,3,3,40,50,35,38,11,27,10,2,8,28,9,19,49,22,27,2,1,1,5,1,4,-3,0,-3,0,0,0,1,1,0,2,0,2,0.33,1,0,3.33,3,3.5,0.67,1,0.5,2.67,2,3,2.33,2,2.5,0.67,1,0.5,1.67,1,2,3,3,2,1,1,0,1,1,1,0,0,0,2,2,1,1,1,0,0,0,1,2,2,3,0,0,0,1,1,1,0,0,1,1,1,2,100,100,67,33,33,0,100,100,100,0,0,0,100,100,50,50,50,0,0,0,33,67,67,100,0,0,0,100,100,100,0,0,50,50,50,100,3,3,1,1,1,0,2,2,1,100,100,33,100,100,0,100,100,50,0,0,0,37,0,0,0,67,100,50,33,0,50,33,100,0,0,0,0,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,33,100,0,67,0,100,4.00,4.00,4.00,2,3,1.50,100,100,100,33,33,33,33,0,1.30,1.20,1.36,1.65,1.94,1.50,33,1,0,1,0,0,0,0,0,0,2,1,0,0,3,0,1,0,1,0,0,0,100,100,100,0
Ulsan Hyundai Horang-i,Ulsan,2025,South Korea,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,31,2,6,-4,8,1,7,0,2,1,5,-1,-3,134,0,90,45,90,36,0,0,0,1,0,1,2,1,1,0,0,0,14,9,5,3,1,2,34,32,35,22,9,13,9,3,6,13,6,7,32,7,25,2,0,2,3,1,2,-1,-1,0,1,0,1,0,0,0,2,1,1,1,0,1.5,2.67,1,3.5,0.67,0,1,2,1,2.5,1.67,1,2,0.67,0,1,1,1,1,3,1,1,1,1,1,1,0,0,0,0,0,2,1,1,1,1,1,0,2,2,2,2,2,0,1,1,1,1,1,0,1,1,1,1,1,100,33,33,33,33,33,100,0,0,0,0,0,100,50,50,50,50,50,0,67,67,67,67,67,0,100,100,100,100,100,0,50,50,50,50,50,3,1,1,1,0,0,2,1,1,100,33,33,100,0,0,100,50,50,0,0,0,-25,0,0,0,33,0,50,67,100,50,0,0,0,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,33,0,50,0,0,0,67,100,50,4.67,9.00,2.50,1,1,1.00,100,67,67,67,67,67,67,67,0.88,1.11,0.77,2.29,1.30,2.79,67,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,100,100,100,33
Espérance Sportive de Tunis,ES Tunis,2025,Tunisia,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,21,1,5,-4,6,3,3,0,1,3,2,-3,-1,273,0,180,54,30,90,1,0,1,0,0,0,2,1,1,1,0,1,6,1,5,9,3,6,32,26,36,19,3,16,7,0,7,12,3,9,45,12,33,0,0,0,3,2,1,-3,-2,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,2,3,1.5,0.33,0,0.5,1.67,3,1,1,2,0.5,0,0,0,1,2,0.5,3,2,1,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,1,2,3,3,3,0,0,0,1,1,1,0,1,2,2,2,2,100,67,33,0,0,0,100,100,100,0,0,0,100,50,0,0,0,0,0,33,67,100,100,100,0,0,0,100,100,100,0,50,100,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,100,100,0,50,0,0,33,0,50,-90,33,0,50,0,0,0,67,100,50,33,0,50,1,0,1,33,0,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,0,50,67,100,50,2.00,1.00,2.50,3,3,3.00,0,0,0,0,0,0,0,0,0.75,0.28,0.99,1.37,1.69,1.22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,67,100,50,0
Al Ain SCC,Al Ain,2025,UAE,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,22,2,12,-10,14,5,9,0,2,5,7,-5,-5,134,0,90,23,18,26,0,0,0,1,0,1,2,1,1,0,0,0,9,3,6,5,1,4,38,37,38,32,9,23,11,5,6,21,4,17,30,5,25,1,0,1,8,4,4,-7,-4,-3,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4.67,5,4.5,0.67,0,1,4,5,3.5,3,4,2.5,0.33,0,0.5,2.67,4,2,3,3,3,2,2,1,1,1,1,1,1,0,2,2,2,1,1,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,1,1,100,100,100,67,67,33,100,100,100,100,100,0,100,100,100,50,50,50,0,0,0,33,33,67,0,0,0,0,0,100,0,0,0,50,50,50,3,3,2,1,1,1,2,2,1,100,100,67,100,100,100,100,100,50,33,0,50,-63,0,0,0,33,0,50,67,100,50,0,0,0,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,3.00,3.00,3.00,1.67,1,2.00,100,100,67,33,0,0,0,0,1.18,1.15,1.20,1.98,1.96,1.99,100,0,0,0,0,2,0,0,0,0,2,1,2,1,2,1,0,1,2,0,0,0,67,100,50,0
Al Hilal FC Riyadh,Al Hilal,2025,Saudi Arabia,5,1,4,0,2,1,1,2,0,2,1,0,1,1.6,3,1.25,2,0,0,9,8,6,2,14,2,12,2,6,0,6,2,0,56,45,60,75,0,60,2,1,1,3,0,3,1,0,1,1,1,0,36,3,33,10,2,8,48,48,48,72,8,64,19,3,16,53,5,48,44,11,33,2,1,1,3,0,3,-1,1,-2,1,1,0,2,0,2,2,0,2,1,3,0.5,2.8,2,3,1.6,2,1.5,1.2,0,1.5,1,1,1,0.4,1,0.25,0.6,0,0.75,4,4,2,1,1,1,1,1,0,0,0,0,3,3,2,1,1,1,1,1,3,4,4,4,0,0,1,1,1,1,1,1,2,3,3,3,80,80,40,20,20,20,100,100,0,0,0,0,75,75,50,25,25,25,20,20,60,80,80,80,0,0,100,100,100,100,25,25,50,75,75,75,4,1,0,1,0,0,3,1,0,80,20,0,100,0,0,75,25,0,40,100,25,63,40,100,25,60,0,75,20,0,25,20,100,0,2,1,1,40,100,25,3,0,3,60,0,75,1,0,1,20,0,25,20,100,0,40,0,50,40,0,50,7.20,3.00,8.25,2,2,2.00,80,80,80,80,80,60,60,60,1.49,0.94,1.63,2.05,1.16,2.27,60,0,0,1,0,2,2,0,0,1,1,0,0,2,0,1,1,0,0,40,0,50,20,0,25,60
Club Internacional de Fútbol Miami,Inter Miami,2025,USA,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2,0,0,17,4,7,-3,11,7,4,4,0,3,4,1,-4,90,45,0,51,60,45,1,0,1,2,2,0,2,0,2,1,1,0,15,2,13,8,1,7,48,52,44,36,14,22,17,8,9,19,6,13,40,20,20,1,1,0,5,1,4,-4,0,-4,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2.75,3.5,2,1,2,0,1.75,1.5,2,1.5,1,2,0.25,0.5,0,1.25,0.5,2,3,3,3,2,0,0,2,2,2,1,0,0,1,1,1,1,0,0,1,1,1,2,4,4,0,0,0,1,2,2,1,1,1,1,2,2,75,75,75,50,0,0,100,100,100,50,0,0,50,50,50,50,0,0,25,25,25,50,100,100,0,0,0,50,100,100,50,50,50,50,100,100,3,1,1,2,0,0,1,1,1,75,25,25,100,0,0,50,50,50,25,50,0,57,25,0,50,50,100,0,50,0,100,25,50,0,2,1,1,50,50,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,25,0,50,50,50,50,3.75,1.00,6.50,2,0.5,3.50,75,50,50,50,25,25,25,25,1.09,0.92,1.27,1.94,1.95,1.93,125,0,1,0,0,1,1,1,0,0,2,0,0,1,2,0,0,1,1,50,50,50,25,0,50,0
